SEQ='BE'     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  22527951.3   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 2.5)   132190.0 

   LS RESOLVED TERM INDEXING            BWNR=  24195433.6   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    48       1.09E-12  7.69E-13  4.81E-13  3.35E-13  2.30E-13  1.34E-13  8.37E-14  4.86E-14  2.05E-14  9.47E-15
             4.01E-15  1.16E-15  4.34E-16  1.58E-16  4.07E-17  1.45E-17  5.13E-18  1.30E-18  4.60E-19
    49       3.64E-13  2.56E-13  1.60E-13  1.12E-13  7.66E-14  4.46E-14  2.79E-14  1.62E-14  6.83E-15  3.16E-15
             1.34E-15  3.88E-16  1.45E-16  5.26E-17  1.36E-17  4.82E-18  1.71E-18  4.34E-19  1.53E-19
    50       6.69E-13  4.72E-13  2.97E-13  2.08E-13  1.45E-13  8.74E-14  5.75E-14  3.59E-14  1.71E-14  8.76E-15
             4.07E-15  1.30E-15  5.08E-16  1.91E-16  5.02E-17  1.80E-17  6.42E-18  1.63E-18  5.78E-19
    65       1.87E-13  1.32E-13  8.36E-14  5.91E-14  4.18E-14  2.65E-14  1.87E-14  1.32E-14  8.32E-15  5.81E-15
             4.00E-15  2.36E-15  1.51E-15  9.20E-16  4.33E-16  2.26E-16  1.10E-16  3.90E-17  1.67E-17
    66       5.98E-14  4.23E-14  2.68E-14  1.89E-14  1.34E-14  8.50E-15  6.03E-15  4.28E-15  2.71E-15  1.90E-15
             1.32E-15  7.79E-16  5.01E-16  3.06E-16  1.44E-16  7.52E-17  3.68E-17  1.30E-17  5.55E-18
    67       7.50E-13  5.30E-13  3.35E-13  2.37E-13  1.67E-13  1.05E-13  7.34E-14  5.08E-14  3.02E-14  1.95E-14
